"HolderAddress","Balance","PendingBalanceUpdate"
"0x5ceb51a97a178922c98a13435332117e24a47f95","207.40827841","No"
"0x6ce045d0c8f51eefbc08bd574832b1a199edb3ee","207.16864442","No"
"0x45fdd5167223c68cd109c9e427c29d29817b06e7","205.36033248","No"
"0x9462755b69b3832580db55bf489455d2cf0af249","205.14223194","No"
"0x6800069d2f9c994398184b193ca481fcacd45784","203.88978217","No"
"0x1bbb2454bd36aa710033a910893ee718f6041c8c","200.00000142","No"
"0xef364f7f23ab6ced67a26103cd399dc34e374ada","200","No"
"0x823c068cfa094b4409ef8c2cdeeb8fcb34ebaf19","198","No"
"0x7ea173f290db37295021f21e9fb08d6e5b8474f6","195.69471624","No"
"0xfe9fb45b58e955a1ca155fa8574db2575e84fd69","194.75308642","No"
"0x45bb75d35b610dcf9728c38c65f4b0527821d1e2","194.12564375","No"
"0x13bd0eb524525cb2bbb18632ee21c65853facc91","191.93730069","No"
"0x3e2a4ad57e996d9d12013afe4a72bef17aef6b14","190.02952924","No"
"0xe74a9de7804c9d586c9302b27434a7b285d5169d","189.10927153","No"
"0x7f0bdc5a996df970e3d65e67229c63b95ec9bfdb","186.96253921","No"
"0xb0a8e6386169c51c4f1af014d8e02e9210f81b36","186.67495859","No"
"0x20704889e9fb02bca6ad7d4af52be48803f2d1ee","186.08006549","No"
"0x53c2a1c471d50fc268c2c50d12612b5a3694ee43","182.36930507","No"
"0xa50d1b7266045a7796abaf79f343e80c91dcf3cd","181.01193457","No"
"0x091d1ae1b7698d17f49a8f24cc65ac1d79cce328","180.77571669","No"
"0x251e7391765c13911eb0c8779d6d7a15f059ecc9","179.93630798","No"
"0xab2973c890788a8831c645e9e1960e3f4a4fd8f9","179.85401459","No"
"0xb13127c3fb570126ec66465bd376aa88c56f4cd8","173.46621271","No"
"0x3fdfcc2d06f56a56f5d48956f1fa865c2bbf0a80","170.27652908","No"
"0x8124e016b94545c4bebc93a1f42bde3fac0f8340","167.49094634","No"
"0x702048a0791bdfdfeffc5357e05a0723366c1b06","161.85515076","No"
"0x1331218367f3f227d2dd5748b0db7e65ed8ac075","160","No"
"0x3591ce89a607fefcc092baaf016cdf953744cf2b","159.96578249","No"
"0x647f1e2399f3ecf56e213185f6883f478d1745f3","159.11137796","No"
"0x66f584ce50eb0cb8302d0bdf9c04185e33e9487d","156.93734636","No"
"0x8e0b2d6b1472e27a67403d0ff51b7c6648eb359f","154.75534444","No"
"0x8b4bb091c4283c746f385f73ded68b87e62a52f1","153.85091071","No"
"0x1ed1168e29ffe428011de075d4410037c52821a9","152.14830638","No"
"0x9d6973c157c5e7f5338686b6817e5bed96cd7649","150","No"
"0x7d434f63a355ec8c4c223788a137954aebaa4ce6","150","No"
"0x2d1fd0d691982756ba8fd3f9290d3fd4d7a22855","150","No"
"0x3090de12f34fa6bcb37f1c57cf3332f5c247ff3a","149.23951865","No"
"0x53fefbe3afa9a2693105c9a9df2bb448bd4214b9","147.5692842","No"
