Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Method,block_timestamp,Date,Open,High,Low,Close,Volume,Market Cap
0xf428f2d338724bd6454635c93db0aac8ef1e228c5aa8a2463330193811fef7cd,12492361,1621796653,2021-05-23 19:04:13,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,"1,085.52890206",Transfer,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0xda4d0b25a73f44bfa6e772d752e7377cdbb4b0d8d3411c2a7d35b505790fd3e4,12492384,1621796958,2021-05-23 19:09:18,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,"1,085.52890206",Sweep,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0x242400b7ac40e5c0c41ffe0281f2f32bd7a79c8fbe73411610ac4806a60f3be4,12492577,1621799539,2021-05-23 19:52:19,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,"1,554.44635622",Transfer,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0x934ff21601d1c3de9cc34bd72cba3a090f6f7e64a2a97d0d91504b45723bf7b0,12492594,1621799841,2021-05-23 19:57:21,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,"1,554.44635622",Sweep,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0x7740cc614edb19fcc9d92e2cae681c897447dc1841ba10f951bca01d8b22d539,12492924,1621804322,2021-05-23 21:12:02,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,"1,738.78794484",Transfer,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0xeb3348a192516ac011979cdc014200e34b6a3be8a088662a54783ceba7cd541f,12492956,1621804860,2021-05-23 21:21:00,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,"1,738.78794484",Sweep,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0xcf5f7d342e91c5b0dc6d370c9dad073acd0529e84c539af22cb0974b6a9f9d1c,12493128,1621806654,2021-05-23 21:50:54,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,"1,871.64622582",Transfer,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0x8e225b5bc94c95ae9c930e732c06b61387718804e9b9979d4481bb39b3a4ccda,12493145,1621806894,2021-05-23 21:54:54,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,"1,871.64622582",Sweep,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0x2e5130bfaa9756874431f8f09a82edee7e377638bd078b9ec07fdbfd8a9a6ee5,12495659,1621841249,2021-05-24 07:27:29,0xcc6e3fd35f034f5baa27b6e74dcb197f084a8721,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,"24,315",Transfer,1621807200,May-24-2021,1.4062615329845791,1.41,1.39,1.39,9575.076580568557,552149308.2200525
0x5c7f1df3f0c96b9a530f2ea0ddf8f7b7409333063f2d04aaebe248ad9920ce21,12496865,1621857600,2021-05-24 12:00:00,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x945dd0eaca3ca61a60cf61ec7939466d673a75b0,866.86251932,Transfer,1621807200,May-24-2021,1.4062615329845791,1.41,1.39,1.39,9575.076580568557,552149308.2200525
0xc1e98bd277b174c76b79214382145e368812ecd6767d2e8c3c7622e54e4fa6a5,12496999,1621859466,2021-05-24 12:31:06,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x945dd0eaca3ca61a60cf61ec7939466d673a75b0,883.24799999,Transfer,1621807200,May-24-2021,1.4062615329845791,1.41,1.39,1.39,9575.076580568557,552149308.2200525
0x16d79313034a833d2986b8b76a58395ca06be958b499fea1632b37924b3c303f,12576907,1622929105,2021-06-05 21:38:25,0x59a5208b32e627891c389ebafc644145224006e8,0x9652b6a35a516154cdf1ff31cb3af0d0534e8658,"1,452.88052",Transfer,1622844000,Jun-05-2021,1.38,1.4,1.38,1.4,3846.653240266394,547299522.2628247
0x571de467172ebf33f0e0860a68007bc6f17afaca65518a1a1c9f1b235eab829a,12576931,1622929365,2021-06-05 21:42:45,0x9652b6a35a516154cdf1ff31cb3af0d0534e8658,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,"1,452.88052",Sweep,1622844000,Jun-05-2021,1.38,1.4,1.38,1.4,3846.653240266394,547299522.2628247
0xe2c53f2aeb1ded9e862ed48dc94ab530975e439b58e698021e99ac73a29fd604,12591615,1623124947,2021-06-08 04:02:27,0x59a5208b32e627891c389ebafc644145224006e8,0x9652b6a35a516154cdf1ff31cb3af0d0534e8658,"1,743.77",Transfer,1623103200,Jun-08-2021,1.31,1.35,1.28,1.3,6961.69640696456,515224991.3781948
0xffbc19e8f9f28d4e0d8d4f3f9e9a425d30ff0e575a27be384b047afa925f3060,12591636,1623125149,2021-06-08 04:05:49,0x9652b6a35a516154cdf1ff31cb3af0d0534e8658,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,"1,743.77",Sweep,1623103200,Jun-08-2021,1.31,1.35,1.28,1.3,6961.69640696456,515224991.3781948
0x66624d970dc2a461fc2f19e4c1abdf1e1f40317cf4c7e25df5f67fff0b11e905,12601099,1623252327,2021-06-09 15:25:27,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x945dd0eaca3ca61a60cf61ec7939466d673a75b0,"1,409",Transfer,1623189600,Jun-09-2021,1.3,1.32,1.26,1.28,9409.90082391962,510169973.9323791
0xfd17341a4488fdef6b93e3ae52f3a4473f8bb7710353ee8cc0497e142b04db99,12601548,1623258345,2021-06-09 17:05:45,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0x18f6cb19ed6af23791c50e34d9e8720c3dcb0bdf,332.83556147,Transfer,1623189600,Jun-09-2021,1.3,1.32,1.26,1.28,9409.90082391962,510169973.9323791
0xd277241d68f7abeb3c0d9f94f1934fe9f2fb87f5e64fd486323a0c8124c8d2fe,12601565,1623258511,2021-06-09 17:08:31,0x18f6cb19ed6af23791c50e34d9e8720c3dcb0bdf,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,332.83556147,Sweep,1623189600,Jun-09-2021,1.3,1.32,1.26,1.28,9409.90082391962,510169973.9323791
0x931692b5a83440d4bc878a8fc1e3095932e233d1e5e7efee552925ef7e7e3c99,12601690,1623259952,2021-06-09 17:32:32,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0x18f6cb19ed6af23791c50e34d9e8720c3dcb0bdf,342.41688236,Transfer,1623189600,Jun-09-2021,1.3,1.32,1.26,1.28,9409.90082391962,510169973.9323791
0x98d09626b84f547bfbbb4cfa5825fcd7f8cd4f348af54884171a0a7317de1157,12601714,1623260314,2021-06-09 17:38:34,0x18f6cb19ed6af23791c50e34d9e8720c3dcb0bdf,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,342.41688236,Sweep,1623189600,Jun-09-2021,1.3,1.32,1.26,1.28,9409.90082391962,510169973.9323791
0xbde4a6f98f24e0dbacd7b1b111e674117e865a5f55127342c8409afe2b853adb,12601967,1623263905,2021-06-09 18:38:25,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0x18f6cb19ed6af23791c50e34d9e8720c3dcb0bdf,354.74085826,Transfer,1623189600,Jun-09-2021,1.3,1.32,1.26,1.28,9409.90082391962,510169973.9323791
0xd357d2eb79871289714e72e9915e87740d67ec4b175c973d4bec90ed216ab444,12601987,1623264169,2021-06-09 18:42:49,0x18f6cb19ed6af23791c50e34d9e8720c3dcb0bdf,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,354.74085826,Sweep,1623189600,Jun-09-2021,1.3,1.32,1.26,1.28,9409.90082391962,510169973.9323791
0xd01be855d0880b2b01ddf9718324329f1caab6fe2dfd3fda92171fcc27a1b754,12602100,1623265613,2021-06-09 19:06:53,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0x18f6cb19ed6af23791c50e34d9e8720c3dcb0bdf,365.58051588,Transfer,1623189600,Jun-09-2021,1.3,1.32,1.26,1.28,9409.90082391962,510169973.9323791
