address,in_degree,out_degree,total_degree
0x5d4724b08978488deb9422648909fefcd85e34ab,3,2,5
0xbc9a442a8f6d984654b720d17131d5c75eed501a,1,1,2
0xce62a599943a8fb6e78605a7d60f72484f3429d3,1,1,2
0x035a3b55e87a8fcae2c711f5bb0fe787ada3bff6,1,1,2
0xf034c03309d3c2eda3aa33855c25d9336448cb89,1,1,2
0x42e0bfef1dfb1bb3254391419260837a38ede5ba,1,1,2
0x24f78a8dc04946733b47956e7786905042fac4d9,1,1,2
0x4c972e8217934814e9b1810b20e2637262a6bf7b,1,1,2
0x8b820325ec2976995eaa4b4bbfc78f4b8b69a526,1,1,2
0xc12be773980b35ac7cdd743e53b07264e6079f68,1,1,2
0x1c67f3b0e3689dc435a7ee4b672c265be7fae89c,1,2,3
0x1a748ad5b635b422a99817092207150152cdef3f,1,2,3
0x263ba885da38ed85709b6d600b52ae15fa234ffe,1,1,2
0x1e205dc6fa0137cdc9c3b7adba209a5eff558ad8,1,1,2
0xa09df9d5b465a67ea61ff2fe9653ffab043948de,1,1,2
0xf333342a6b71f2a7157a1805b1291e8bb4df691a,1,1,2
0xeb87eab318cb11dac67033bd1f7ddd3f3f61032d,1,1,2
0x097c292a766a4c94d926a3ea3619da4197e0f97c,1,1,2
0x7fe0f789620e55292725b82953176807674fd5d8,1,1,2
0x1672103caaf67d6c0c020b08c6c13162ac7cc571,1,1,2
0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71,3,0,3
0x9b833b949be3b8d96da4d95fa835317833854b9f,1,1,2
0x109ef9547510438ce7fa04886bcff0e3bd16a108,2,2,4
0x90b7a9441207d6e150df697f40bfd955f4a2fae3,0,2,2
0x8ffac441295c5225609d16e0c5305c47135e227c,1,1,2
0x40d6ee16d0af9ff79995f37a0a310c3d64278e86,1,1,2
0xb0e4b69a018b35102dc648f81542efb88744b5ef,1,1,2
0x2b4830b51c05e527ca739f487329b25909ea3914,1,2,3
0x4360b9b5bba0d67a0af7b4241d1faa7dc840fcef,1,1,2
0x6a83156aadaffa3bb3638eb6ad81c026c7fc96ec,1,2,3
0xcc836a3bdcbd6efd1d662e6dfeff41602563d98b,1,1,2
0x4d0bf3c6b181e719cdc50299303d65774dfb0af7,1,2,3
0xdfcf2be109b27c083cc83c30578e20c0d49c13b8,0,2,2
0x24102733fbd2dc61fb6dd597238fdc2e35e53f0c,1,1,2
